cores, oned, clps, span, iota, kokkos, 
1, 1.0, 1.0, 1.0, 1.0, 1.0, 
11, 11.022824536376605, 11.002949852507374, 9.939769329346433, 8.045548654244307, 8.738367658276125, 
22, 21.76619718309859, 21.898238747553815, 18.541035856573703, 14.446096654275093, 14.231055900621119, 
33, 31.929752066115704, 32.62390670553936, 27.734207389749702, 19.190123456790122, 18.155309033280506, 
44, 41.994565217391305, 43.03846153846154, 37.111642743221694, 22.527536231884056, 20.384341637010674, 
56, 51.513333333333335, 54.05797101449275, 47.39103869653768, 26.98611111111111, 23.718426501035196, 
67, 60.3671875, 63.94285714285714, 55.270783847981, 29.439393939393938, 24.271186440677965, 
78, 63.33606557377049, 71.73076923076923, 61.07349081364829, 29.892307692307693, 25.45777777777778, 
89, 71.54629629629629, 79.36170212765957, 63.23097826086956, 29.77777777777778, 25.12280701754386, 
100, 81.33684210526316, 88.11023622047244, 60.43896103896104, 29.55133079847909, 23.916492693110648, 
112, 68.99107142857143, 88.80952380952381, 60.1266149870801, 29.218045112781954, 23.475409836065573, 
