cores, oned, clps, span, iota, kokkos, sycl, 
1, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 
11, 11.0, 11.028371890004365, 10.83182829472582, 6.855608591885441, 8.301040832666132, 9.941441441441441, 
22, 21.874045801526716, 22.047120418848166, 21.38656330749354, 10.026178010471204, 11.393406593406594, 17.798387096774192, 
33, 32.5625, 32.98433420365535, 31.590076335877864, 13.485915492957746, 16.024729520865534, 25.202283849918434, 
44, 43.416666666666664, 43.94086956521739, 41.48671679197995, 15.73972602739726, 15.829007633587786, 31.6577868852459, 
56, 53.5607476635514, 55.89823008849557, 51.89090909090909, 17.40909090909091, 17.96880415944541, 37.31642512077295, 
67, 62.29347826086956, 66.84126984126983, 62.04347826086956, 18.532258064516128, 20.736, 41.75405405405405, 
78, 71.6375, 77.74153846153847, 72.09581881533101, 17.462006079027354, 20.36935166994106, 42.326027397260276, 
89, 81.87142857142857, 88.34265734265735, 81.22276741903828, 17.676923076923078, 20.289628180039138, 42.2103825136612, 
100, 88.16923076923077, 99.08235294117647, 90.65279299014239, 16.749271137026238, 20.903225806451612, 41.64150943396226, 
112, 92.43548387096774, 110.8157894736842, 99.95893719806763, 16.1376404494382, 28.327868852459016, 43.64124293785311, 
