cores, oned, clps, span, iota, kokkos, 
1, 1.0, 1.4481687588973728, 3.0113886372460206, 1.0058237349553514, 1.4825935033001165, 
11, 1.0, 1.4507845934379457, 3.339514978601997, 1.3780313837375178, 1.8701854493580599, 
22, 1.0, 1.43943661971831, 3.535211267605634, 1.5154929577464789, 2.267605633802817, 
33, 1.0, 1.4173553719008265, 3.4669421487603307, 1.6735537190082646, 2.6074380165289255, 
44, 1.0, 1.4130434782608696, 3.407608695652174, 1.875, 3.0543478260869565, 
56, 1.0, 1.38, 3.2733333333333334, 1.92, 3.22, 
67, 1.0, 1.3671875, 3.2890625, 2.0625, 3.6875, 
78, 1.0, 1.278688524590164, 3.122950819672131, 2.1311475409836067, 3.6885245901639343, 
89, 1.0, 1.3055555555555556, 3.4074074074074074, 2.4166666666666665, 4.222222222222222, 
100, 1.0, 1.3368421052631578, 4.052631578947368, 2.768421052631579, 5.042105263157895, 
112, 1.0, 1.125, 3.455357142857143, 2.375, 4.357142857142857, 
