cores, oned, clps, span, iota, diy2e, kokkos, sycl, 
1, 1.0, 4.40865468504624, 14.44180771244111, 1.0024428546501483, 5.3348455766881875, 1.8091083580526959, 2.6956901064386667, 
11, 1.0, 4.3973128598848366, 14.66602687140115, 1.6084452975047985, 5.6487523992322455, 2.397312859884837, 2.9827255278310942, 
22, 1.0, 4.374045801526718, 14.770992366412214, 2.187022900763359, 5.736641221374046, 3.4732824427480917, 3.312977099236641, 
33, 1.0, 4.3522727272727275, 14.886363636363637, 2.4204545454545454, 5.715909090909091, 3.6761363636363638, 3.4829545454545454, 
44, 1.0, 4.356060606060606, 15.113636363636363, 2.765151515151515, 5.674242424242424, 4.962121212121212, 3.696969696969697, 
56, 1.0, 4.224299065420561, 14.906542056074766, 3.0841121495327104, 5.4953271028037385, 5.392523364485982, 3.869158878504673, 
67, 1.0, 4.108695652173913, 14.5, 3.369565217391304, 5.206521739130435, 5.434782608695652, 4.021739130434782, 
78, 1.0, 4.0625, 14.35, 4.1125, 5.25, 6.3625, 4.5625, 
89, 1.0, 4.085714285714285, 14.557142857142857, 4.642857142857143, 5.242857142857143, 7.3, 5.228571428571429, 
100, 1.0, 3.923076923076923, 14.046153846153846, 5.276923076923077, 5.2153846153846155, 7.630769230769231, 5.707692307692308, 
112, 1.0, 3.6774193548387095, 13.35483870967742, 5.741935483870968, 5.016129032258065, 5.903225806451613, 5.709677419354839, 
