cores, oned, clps, span, iota, diy2e, kokkos, sycl, 
1, 5731, 25266, 82766, 5745, 30574, 10368, 15449, 
11, 521, 2291, 7641, 838, 2943, 1249, 1554, 
22, 262, 1146, 3870, 573, 1503, 910, 868, 
33, 176, 766, 2620, 426, 1006, 647, 613, 
44, 132, 575, 1995, 365, 749, 655, 488, 
56, 107, 452, 1595, 330, 588, 577, 414, 
67, 92, 378, 1334, 310, 479, 500, 370, 
78, 80, 325, 1148, 329, 420, 509, 365, 
89, 70, 286, 1019, 325, 367, 511, 366, 
100, 65, 255, 913, 343, 339, 496, 371, 
112, 62, 228, 828, 356, 311, 366, 354, 
